"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=cerapoda"
"Access Time","Fri 2017-02-03 21:14:25 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","cerapoda"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.154"
"Records Found","3991"
"Records Returned","3991"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"491258","occ","30598","","22648","Dryosaurus altus","species","54253","","Dryosaurus altus","species","52882","Kimmeridgian","Tithonian","157.3","145","13281"
"491329","occ","","","22679","Ornithopoda indet.","unranked clade","38713","","Ornithopoda","unranked clade","38713","Late Albian","Early Cenomanian","105.3","93.5","13288"
"491339","occ","","","49617","Iguanodontidae indet.","family","38744","","Iguanodontidae","family","38744","Barremian","","129.4","125","13287"
"491346","occ","","","49619","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","13289"
"491386","occ","","","49620","Neoceratopsia indet.","infraorder","52774","","Neoceratopsia","infraorder","52774","Late Santonian","Early Campanian","85.8","70.6","1411"
"491403","occ","","","14421","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Early Campanian","","83.5","70.6","1414"
"491420","occ","","","14430","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Early Campanian","","83.5","70.6","1414"
"491427","occ","","","49622","Camptosaurus sp.","genus","38748","","Camptosaurus","genus","38748","Kimmeridgian","Tithonian","157.3","145","13281"
"491451","occ","","","49629","Drinker nisti","species","57650","","Drinker nisti","species","57650","Tithonian","","152.1","145","10653"
"491474","occ","","","49636","Othnielia sp.","genus","38737","nomen dubium","Ornithopoda","unranked clade","38713","Kimmeridgian","Tithonian","157.3","145","13295"
"491507","occ","","","49636","Dryosaurus sp.","genus","38731","","Dryosaurus","genus","38731","Kimmeridgian","Tithonian","157.3","145","13281"
"493046","occ","","","49797","Psittacosaurus n. sp. guyangensis","species","65683","subjective synonym of","Psittacosaurus mongoliensis","species","52831","Early Cretaceous","","145","100.5","13360"
"493055","occ","","","49802","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Cenomanian","Coniacian","100.5","86.3","13385"
"495927","occ","","","50061","Iguanodontidae indet.","family","38744","","Iguanodontidae","family","38744","Aptian","Albian","125","100.5","13445"
"495930","occ","","","50061","Ornithopoda indet.","unranked clade","38713","","Ornithopoda","unranked clade","38713","Aptian","Albian","125","100.5","13445"
"496303","occ","","","50082","Trachodon sp.","genus","52925","nomen dubium","Hadrosauridae","family","38755","Maastrichtian","","72.1","66","13456"
"496305","occ","","","50082","Triceratops sp.","genus","38862","","Triceratops","genus","38862","Maastrichtian","","72.1","66","13456"
"496308","occ","","","50083","n. gen. Brachyceratops n. sp. montanensis","species","63895","nomen dubium","Brachyceratops","genus","63894","Campanian","","83.6","72.1","13459"
"496309","occ","","","50084","Thescelosaurus neglectus","species","52897","","Thescelosaurus neglectus","species","52897","Maastrichtian","","72.1","66","12059"
"496310","occ","","","50085","Thescelosaurus neglectus","species","52897","","Thescelosaurus neglectus","species","52897","Late Maastrichtian","","70.6","66","13458"
"496312","occ","","","50086","Triceratops sp.","genus","38862","","Triceratops","genus","38862","Maastrichtian","","72.1","66","13463"
"496313","occ","31433","","50087","Triceratops horridus","species","63759","","Triceratops horridus","species","63766","Maastrichtian","","72.1","66","55599"
"496314","occ","","","50088","Edmontosaurus sp.","genus","38761","","Edmontosaurus","genus","38761","Maastrichtian","","72.1","66","13466"
"497834","occ","22649","","45149","Euornithopoda indet.","unranked clade","52801","","Euornithopoda","unranked clade","52801","Early Aptian","","125.45","122.46","31500"
"497837","occ","20503","","48861","Rhabdodon sp.","genus","38753","","Rhabdodon","genus","38753","Late Campanian","Early Maastrichtian","83.5","66","26656"
"497887","occ","","","50304","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","13509"
"497904","occ","","","50310","Iguanodontidae indet.","family","38744","","Iguanodontidae","family","38744","Berriasian","","145","139.8","13515"
"497905","occ","","","50311","Iguanodontidae indet.","family","38744","","Iguanodontidae","family","38744","Neocomian","","145","130","13515"
"497906","occ","","","50312","Iguanodontidae indet.","family","38744","","Iguanodontidae","family","38744","Neocomian","","145","130","13515"
"498253","occ","","","50347","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498254","occ","","","50348","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498256","occ","","","50350","Tenontosaurus ? sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","13525"
"498261","occ","","","50354","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Aptian","Albian","125","100.5","13525"
"498265","occ","","","50355","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Aptian","Albian","125","100.5","13525"
"498289","occ","","","50357","Iguanodontidae indet.","family","38744","","Iguanodontidae","family","38744","Valanginian","","139.8","132.9","13526"
"498290","occ","","","50357","Hypsilophodontidae indet.","family","38734","","Hypsilophodontidae","family","38734","Valanginian","","139.8","132.9","13526"
"498308","occ","","","50359","Iguanodontidae indet.","family","38744","","Iguanodontidae","family","38744","Valanginian","","139.8","132.9","13526"
"498848","occ","","","50467","Psittacosaurus sp.","genus","38844","","Psittacosaurus","genus","38844","Late Barremian","Early Aptian","130","122.46","13533"
"498859","occ","","","50469","Psittacosaurus sp.","genus","38844","","Psittacosaurus","genus","38844","Late Barremian","Early Aptian","130","122.46","13533"
"498861","occ","","","50470","Psittacosaurus sp.","genus","38844","","Psittacosaurus","genus","38844","Late Barremian","Early Aptian","130","122.46","13533"
"498868","occ","","","50471","Tenontosaurus sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","13525"
"498871","occ","","","50473","Tenontosaurus ? sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","13525"
"498872","occ","","","50474","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498876","occ","","","50477","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498877","occ","","","50478","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498879","occ","","","50479","Tenontosaurus sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","13525"
"498884","occ","","","50481","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498886","occ","","","50482","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498888","occ","","","50483","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498893","occ","","","50487","Tenontosaurus ? sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","13525"
"498895","occ","","","50488","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498898","occ","","","50490","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498901","occ","","","50491","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498902","occ","","","50492","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498923","occ","","","50498","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498932","occ","","","50500","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"498933","occ","","","50501","Tenontosaurus sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","13525"
"498937","occ","","","50503","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499153","occ","","","50525","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499155","occ","","","50526","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499156","occ","","","50527","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499158","occ","13273","","50529","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499161","occ","","","50531","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499167","occ","","","50537","Tenontosaurus ? sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","13525"
"499168","occ","","","50538","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499170","occ","","","50539","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499172","occ","","","50540","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499173","occ","","","50541","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499177","occ","","","50543","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Aptian","Albian","125","100.5","13525"
"499598","occ","","","50684","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Aptian","Albian","125","100.5","13525"
"499599","occ","","","50685","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Aptian","Albian","125","100.5","13525"
"499606","occ","","","50686","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Aptian","Albian","125","100.5","13525"
"499611","occ","","","50687","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Aptian","Albian","125","100.5","13525"
"499622","occ","","","50690","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Aptian","Albian","125","100.5","13525"
"499623","occ","","","50691","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Aptian","Albian","125","100.5","13525"
"499632","occ","","","50692","Tenontosaurus sp.","genus","38741","","Tenontosaurus","genus","38741","Aptian","Albian","125","100.5","13525"
"499655","occ","","","50695","Tenontosaurus ? sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","13525"
"499656","occ","","","50696","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499661","occ","","","50697","Tenontosaurus sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","13525"
"499662","occ","","","50698","Tenontosaurus sp.","genus","38741","","Tenontosaurus","genus","38741","Albian","","113","100.5","13525"
"499679","occ","","","50701","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499680","occ","","","50702","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499687","occ","","","50706","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499689","occ","","","50707","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499695","occ","","","50710","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Aptian","Albian","125","100.5","13525"
"499702","occ","","","50713","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Aptian","Albian","125","100.5","13525"
"499743","occ","","","50718","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"499856","occ","","","50719","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Aptian","Albian","125","100.5","13525"
"499857","occ","","","50720","Tenontosaurus tilletti","species","52887","","Tenontosaurus tilletti","species","52887","Aptian","Albian","125","100.5","13525"
"499880","occ","","","50727","Microceratops ? n. sp. sulcidens","species","65709","nomen dubium","Microceratus","genus","119495","Barremian","Aptian","129.4","113","13553"
"499892","occ","","","49343","Psittacosaurus n. sp. osborni","species","65706","subjective synonym of","Psittacosaurus mongoliensis","species","52831","Aptian","","125","113","14779"
"499900","occ","","","50729","Protoceratops andrewsi","species","52824","","Protoceratops andrewsi","species","52824","Campanian","Maastrichtian","83.6","66","13553"
"499908","occ","","","50733","Troodon n. sp. bexelli","species","56576","nomen dubium","Pachycephalosauridae","family","38783","Campanian","Maastrichtian","83.6","66","13553"
"499909","occ","","","50733","n. gen. Microceratops n. sp. gobiensis","species","52825","nomen dubium","Microceratus","genus","119495","Campanian","Maastrichtian","83.6","66","13553"
"500520","occ","","","50825","Stegoceras validum","species","56570","","Stegoceras validum","species","81379","Middle Campanian","Late Campanian","83.5","70.6","13582"
"500524","occ","","","50826","Stegoceras validum","species","56570","","Stegoceras validum","species","81379","Middle Campanian","Late Campanian","83.5","70.6","13582"
"501213","occ","","","50827","Stegoceras validum","species","56570","","Stegoceras validum","species","81379","Middle Campanian","Late Campanian","83.5","70.6","13582"
"501215","occ","","","50828","Stegoceras sp.","genus","38787","","Stegoceras","genus","38787","Middle Campanian","Late Campanian","83.5","70.6","13582"
"501216","occ","","","50829","Ornatotholus browni","species","56568","subjective synonym of","Stegoceras validum","species","81379","Middle Campanian","Late Campanian","83.5","70.6","13582"
"501217","occ","13483","","50830","Stegoceras sp.","genus","38787","","Stegoceras","genus","38787","Middle Campanian","Late Campanian","83.5","70.6","14450"
"501496","occ","","","14462","Hadrosaurinae indet.","subfamily","53382","","Hadrosaurinae","subfamily","53382","Middle Campanian","Late Campanian","83.5","70.6","1487"
"501513","occ","32427","","14437","Lambeosaurinae indet.","subfamily","53394","","Lambeosaurinae","subfamily","53394","Middle Campanian","Late Campanian","83.5","70.6","59434"
"501514","occ","32428","","14437","Lambeosaurinae indet.","subfamily","53394","","Lambeosaurinae","subfamily","53394","Middle Campanian","Late Campanian","83.5","70.6","25472"
"501516","occ","32433","","14437","Gryposaurus ? sp.","genus","53014","","Gryposaurus","genus","53014","Middle Campanian","Late Campanian","83.5","70.6","59434"
"501517","occ","32434","","14437","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Middle Campanian","Late Campanian","83.5","70.6","59434"
"501518","occ","","","14437","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Middle Campanian","Late Campanian","83.5","70.6","13593"
"501519","occ","","","14437","Stegoceras sp.","genus","38787","","Stegoceras","genus","38787","Middle Campanian","Late Campanian","83.5","70.6","1487"
"501522","occ","","","14437","Centrosaurus sp.","genus","38854","","Centrosaurus","genus","38854","Middle Campanian","Late Campanian","83.5","70.6","1487"
"501545","occ","","","14490","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Middle Campanian","Late Campanian","83.5","70.6","1487"
"501562","occ","","","50906","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Middle Campanian","Late Campanian","83.5","70.6","1487"
"501563","occ","","","50906","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Middle Campanian","Late Campanian","83.5","70.6","1487"
"501564","occ","","","50906","Stegoceras sp.","genus","38787","","Stegoceras","genus","38787","Middle Campanian","Late Campanian","83.5","70.6","1487"
"501572","occ","","","50907","Hadrosaurinae indet.","subfamily","53382","","Hadrosaurinae","subfamily","53382","Middle Campanian","Late Campanian","83.5","70.6","1487"
"501573","occ","","","50907","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Middle Campanian","Late Campanian","83.5","70.6","1487"
"501574","occ","","","50907","Stegoceras sp.","genus","38787","","Stegoceras","genus","38787","Middle Campanian","Late Campanian","83.5","70.6","1487"
"501575","occ","","","50907","cf. Chasmosaurus sp.","genus","38855","","Chasmosaurus","genus","38855","Middle Campanian","Late Campanian","83.5","70.6","1487"
"501578","occ","","","50909","Centrosaurus sp.","genus","38854","","Centrosaurus","genus","38854","Middle Campanian","Late Campanian","83.5","70.6","1487"
"501687","occ","","","50930","Triceratops n. sp. ingens","species","66024","nomen dubium","Ceratopsidae","family","38851","Maastrichtian","","72.1","66","13602"
"501688","occ","","","50931","Triceratops n. sp. calicornis","species","54191","subjective synonym of","Triceratops horridus","species","63766","Maastrichtian","","72.1","66","14177"
"504694","occ","","","51316","n. gen. Edmontosaurus n. sp. regalis","species","63254","","Edmontosaurus regalis","species","63254","Late Campanian","","83.5","70.6","17549"
"504695","occ","32346","","51317","Pentaceratops n. sp. aquilonius","species","340980","nomen dubium","Pentaceratops","genus","38859","Late Campanian","","83.5","70.6","59189"
"504696","occ","32347","","51318","Pentaceratops aquilonius","species","340980","nomen dubium","Pentaceratops","genus","38859","Middle Campanian","Late Campanian","83.5","70.6","59189"
"507603","occ","","","51518","n. gen. Craspedodon n. sp. lonzeensis","species","66257","","Craspedodon lonzeensis","species","66257","Santonian","Early Campanian","86.3","70.6","13701"
"507608","occ","","","51521","n. gen. Orthomerus n. sp. dolloi","species","65152","nomen dubium","Hadrosauridae","family","38755","Late Maastrichtian","","70.6","66","13701"
"507843","occ","","","51529","Ceratopsia indet.","unranked clade","38842","","Ceratopsia","unranked clade","38842","Campanian","Maastrichtian","83.6","66","13705"
"507858","occ","","","51534","n. gen. Parasaurolophus n. sp. cyrtocristatus","species","66260","","Parasaurolophus cyrtocristatus","species","66260","Late Campanian","","83.5","70.6","13707"
"507881","occ","","","51545","Monoclonius sp.","genus","38857","","Monoclonius","genus","38857","Late Campanian","","83.5","70.6","13709"
"507882","occ","","","51545","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","13709"
"508168","occ","","","51594","Hadrosaurinae indet.","subfamily","53382","","Hadrosaurinae","subfamily","53382","Campanian","Maastrichtian","83.6","66","13712"
"508629","occ","13234","","51681","Iguanodontidae indet.","family","38744","","Iguanodontidae","family","38744","Late Albian","Early Turonian","105.3","89.3","13749"
"510840","occ","","","51746","Ornithopoda indet.","unranked clade","38713","","Ornithopoda","unranked clade","38713","Early Cenomanian","","99.6","93.5","13775"
"512990","occ","","","51860","cf. Iguanodontidae indet.","family","38744","","Iguanodontidae","family","38744","Late Cenomanian","","99.6","93.5","13808"
"512991","occ","","","51861","Lambeosaurus n. sp. clavinitialis","species","63452","","Lambeosaurus clavinitialis","species","63452","Late Campanian","","83.5","70.6","12319"
"512992","occ","","","51862","Lambeosaurus clavinitialis","species","63452","","Lambeosaurus clavinitialis","species","63452","Late Campanian","","83.5","70.6","12319"
"512993","occ","","","51863","Lambeosaurus n. sp. magnicristatum","species","63453","corrected to","Lambeosaurus magnicristatus","species","63453","Late Campanian","","83.5","70.6","12118"
"513183","occ","28328","","51900","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Maastrichtian","","70.6","66","45986"
"513198","occ","","","51902","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","13820"
"513243","occ","","","51910","Ceratopsia indet.","unranked clade","38842","","Ceratopsia","unranked clade","38842","Late Cretaceous","","100.5","66","13834"
"513266","occ","","","51919","n. gen. Planicoxa n. sp. venenica","species","66518","","Planicoxa venenica","species","66518","Barremian","","129.4","125","13849"
"513267","occ","21877","","51920","Hadrosauroidea indet.","superfamily","52811","","Hadrosauroidea","superfamily","52811","Middle Turonian","","93.5","89.3","30213"
"513430","occ","","","51961","n. gen. Qantassaurus n. sp. intrepidus","species","66576","","Qantassaurus intrepidus","species","66576","Early Aptian","","125.45","122.46","13869"
"513431","occ","23128","","51961","Iguanodontia indet.","unranked clade","144577","","Iguanodontia","unranked clade","52805","Early Aptian","","125.45","122.46","32702"
"513432","occ","23127","","38542","Iguanodontia indet.","unranked clade","144577","","Iguanodontia","unranked clade","52805","Late Aptian","Early Albian","122.46","109","32702"
"513433","occ","","","51962","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Maastrichtian","","70.6","66","13870"
"513436","occ","","","51965","Montanoceratops cerorhynchus","species","52830","","Montanoceratops cerorhynchus","species","52829","Early Maastrichtian","","70.6","66","13878"
"513506","occ","","","51982","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Santonian","Early Campanian","85.8","70.6","1965"
"513509","occ","","","51983","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Early Campanian","Middle Campanian","83.5","70.6","1965"
"513514","occ","","","51984","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Santonian","Early Campanian","85.8","70.6","1965"
"513515","occ","","","51985","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Santonian","Early Campanian","85.8","70.6","1965"
"513607","occ","26143","","52034","Ornithopoda indet.","unranked clade","38713","","Ornithopoda","unranked clade","38713","Late Aptian","","122.46","112.03","13930"
"513608","occ","","","52035","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","13836"
"513610","occ","","","52033","Zuniceratops christopheri","species","66591","","Zuniceratops christopheri","species","66591","Middle Turonian","","93.5","89.3","13881"
"513611","occ","","","52033","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Middle Turonian","","93.5","89.3","13832"
"513620","occ","","","52037","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Middle Santonian","","85.8","83.5","13936"
"513653","occ","","","52051","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Early Santonian","","85.8","83.5","13936"
"513669","occ","","","52052","Hadrosauridae indet.","family","38755","","Hadrosauridae","family","38755","Late Campanian","","83.5","70.6","13834"
"513671","occ","","","52052","Thescelosaurus ? sp.","genus","38742","","Thescelosaurus","genus","38742","Late Campanian","","83.5","70.6","13834"
"513680","occ","20937","","52053","n. gen. Lophorhothon n. sp. atopus","species","67215","","Lophorhothon atopus","species","67215","Early Campanian","","83.5","70.6","13942"
"513683","occ","","","52056","Chasmosaurinae indet.","subfamily","52773","","Chasmosaurinae","subfamily","52773","Maastrichtian","","72.1","66","13944"
"513750","occ","24396","","52058","n. gen. Titanoceratops n. sp. ouranos","species","179223","","Titanoceratops ouranos","species","179223","Late Campanian","","83.5","70.6","35447"
"513752","occ","13505","","52060","Parasaurolophus cyrtocristatus","species","66260","","Parasaurolophus cyrtocristatus","species","66260","Late Campanian","","83.5","70.6","14858"
"513819","occ","","","52071","Pachyrhinosaurus canadensis","species","66023","","Pachyrhinosaurus canadensis","species","66023","Late Campanian","Early Maastrichtian","83.5","66","18562"
"513820","occ","","","52072","Pachyrhinosaurus canadensis","species","66023","","Pachyrhinosaurus canadensis","species","66023","Late Campanian","Early Maastrichtian","83.5","66","13943"
"513821","occ","","","52072","Anchiceratops sp.","genus","38852","","Anchiceratops","genus","38852","Late Campanian","Early Maastrichtian","83.5","66","13943"
"513851","occ","33113","","52077","Edmontosaurus cf. regalis","species","63254","","Edmontosaurus regalis","species","63254","Campanian","Maastrichtian","83.6","66","61518"
"513859","occ","","I","52080","Caririchnium leonardii","species","88804","","Caririchnium leonardii","species","88804","Albian","","113","100.5","14089"
"513860","occ","","I","52080","Amblydactylus sp.","genus","68216","","Amblydactylus","genus","68216","Albian","","113","100.5","14089"
"513892","occ","","","52084","Claosaurus n. sp. affinis","species","64336","nomen dubium","Claosaurus","genus","38759","Campanian","","83.6","72.1","46254"
"513909","occ","","","52088","Triceratops sp.","genus","38862","","Triceratops","genus","38862","Late Maastrichtian","","70.6","66","13950"
"513910","occ","29164","","52089","Triceratops sp.","genus","38862","","Triceratops","genus","38862","Maastrichtian","","72.1","66","13950"
"513914","occ","","","52091","Ceratopsidae indet.","family","38851","","Ceratopsidae","family","38851","Maastrichtian","","72.1","66","13959"
"514312","occ","","","52106","Troodon n. sp. wyomingensis","species","64648","recombined as","Pachycephalosaurus wyomingensis","species","64648","Maastrichtian","","72.1","66","14577"
"514313","occ","","","52107","Triceratops n. sp. eurycephalus","species","64364","subjective synonym of","Triceratops horridus","species","63766","Late Maastrichtian","","70.6","66","53992"
"514348","occ","","","52110","Camptosaurus sp.","genus","38748","","Camptosaurus","genus","38748","Middle Tithonian","","150.8","145","13981"
"514934","occ","","","52127","Psittacosaurus mongoliensis","species","52831","","Psittacosaurus mongoliensis","species","52831","Aptian","","125","113","14000"
"515052","occ","33115","","52136","Iguanodontidae ? indet.","family","38744","","Iguanodontidae","family","38744","Albian","","113","100.5","61518"
"515069","occ","","","52142","Iguanodontidae ? indet.","family","38744","","Iguanodontidae","family","38744","Albian","","113","100.5","14010"
"515117","occ","","","52158","Psittacosaurus n. sp. xinjiangensis","species","65707","","Psittacosaurus xinjiangensis","species","65707","Early Cretaceous","","145","100.5","13584"
"515122","occ","20488","I","52161","Caririchnium sp.","genus","68031","","Caririchnium","genus","68031","Albian","","113","100.5","25992"
"515157","occ","21199","I","52163","Caririchnium sp.","genus","68031","","Caririchnium","genus","68031","Albian","","113","100.5","25992"
"516308","occ","","","52110","Ornithopoda indet.","unranked clade","38713","","Ornithopoda","unranked clade","38713","Middle Tithonian","","150.8","145","13981"
"516312","occ","","","52249","Pachyrhinosaurus canadensis","species","66023","","Pachyrhinosaurus canadensis","species","66023","Late Campanian","Early Maastrichtian","83.5","66","13943"
"516319","occ","","","52253","Ornithopoda indet.","unranked clade","38713","","Ornithopoda","unranked clade","38713","Albian","","113","100.5","14010"
"516335","occ","","","52255","Iguanodon n. sp. dawsoni","species","66721","recombined as","Barilium dawsoni","species","66721","Late Valanginian","","140.2","136.4","14158"
"516343","occ","","","52263","Iguanodon mantelli","species","64506","","Iguanodon mantelli","species","64506","Aptian","Early Albian","125","109","14062"
"516344","occ","","","52264","Iguanodon sp.","genus","38749","","Iguanodon","genus","38749","Late Hauterivian","Early Aptian","136.4","122.46","14063"
"516380","occ","","","52297","Iguanodon sp.","genus","38749","","Iguanodon","genus","38749","Late Hauterivian","Early Aptian","136.4","122.46","14133"
"516381","occ","","","52298","Iguanodon sp.","genus","38749","","Iguanodon","genus","38749","Berriasian","","145","139.8","17008"
"516398","occ","","","52299","Iguanodon n. sp. hoggii","species","58899","recombined as","Owenodon hoggii","species","58899","Middle Berriasian","","145","140.2","14067"
"516422","occ","","","52300","cf. Camptosaurus hoggii","species","58900","recombined as","Owenodon hoggii","species","58899","Berriasian","","145","139.8","11798"
"516427","occ","","","52301","cf. Camptosaurus hoggii","species","58900","recombined as","Owenodon hoggii","species","58899","Berriasian","","145","139.8","11798"
"516437","occ","22447","","52306","cf. Camptosaurus hoggii","species","58900","recombined as","Owenodon hoggii","species","58899","Middle Berriasian","","145","140.2","11798"
"516438","occ","22596","","52309","Camptosaurus hoggii","species","58900","recombined as","Owenodon hoggii","species","58899","Tithonian","","152.1","145","11798"
"516471","occ","","","52310","cf. Camptosaurus hoggii","species","58900","recombined as","Owenodon hoggii","species","58899","Late Berriasian","","145","140.2","11798"
"516645","occ","","","50310","Hypsilophodontidae indet.","family","38734","","Hypsilophodontidae","family","38734","Berriasian","","145","139.8","14077"
"516660","occ","22355","","52345","Hadrosauroidea indet.","superfamily","52811","","Hadrosauroidea","superfamily","52811","Aptian","Albian","125","100.5","31069"
"516661","occ","","","52346","Iguanodontidae indet.","family","38744","","Iguanodontidae","family","38744","Aptian","Albian","125","100.5","31086"
"516695","occ","30803","I","52350","Amblydactylus sp.","genus","68216","","Amblydactylus","genus","68216","Cenomanian","","100.5","93.9","14081"
